2026-04-09 21:44:40,361 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:44:40,757 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-09 21:44:41,359 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:44:41,432 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:47:13,315 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:47:13,382 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:49:21,875 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:49:21,944 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:52:29,439 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:52:29,511 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:52:29,920 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-09 21:52:30,515 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:52:30,584 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 21:52:31,586 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 21:52:31,656 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 22:00:00,476 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 22:00:00,551 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 22:00:00,998 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-09 22:00:01,626 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 22:00:01,698 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 23:41:42,507 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 23:41:42,577 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 23:41:42,924 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-09 23:41:43,574 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 23:41:43,651 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 23:42:07,003 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 23:42:07,074 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-09 23:42:20,198 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-09 23:42:20,267 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
